organization_name,website,city,state,status,owner,assigned_to,next_step,next_follow_up,notes
Cheyney University of Pennsylvania,https://www.cheyney.edu,Cheyney,PA,Prospect,,,Initial outreach,,"Fit: 7/10; HBCU; Pennsylvania workforce development; oldest HBCU in US"
Wilberforce University,https://www.wilberforce.edu,Wilberforce,OH,Prospect,,,Initial outreach,,"Fit: 7/10; HBCU; Ohio STEM initiatives; private HBCU"
Claflin University,https://www.claflin.edu,Orangeburg,SC,Prospect,,,Initial outreach,,"Fit: 8/10; HBCU; South Carolina liberal arts; data science programs"
Benedict College,https://www.benedict.edu,Columbia,SC,Prospect,,,Initial outreach,,"Fit: 8/10; HBCU; Columbia SC capital region; business and technology"
Dillard University,https://www.dillard.edu,New Orleans,LA,Prospect,,,Initial outreach,,"Fit: 8/10; HBCU; New Orleans workforce; physics and computer science"
Southern University at New Orleans,https://www.suno.edu,New Orleans,LA,Prospect,,,Initial outreach,,"Fit: 8/10; HBCU; New Orleans public HBCU; urban workforce focus"
Alcorn State University,https://www.alcorn.edu,Lorman,MS,Prospect,,,Initial outreach,,"Fit: 8/10; HBCU; Mississippi land-grant HBCU; agriculture and technology"
Mississippi Valley State University,https://www.mvsu.edu,Itta Bena,MS,Prospect,,,Initial outreach,,"Fit: 7/10; HBCU; Mississippi Delta workforce development"
Central State University,https://www.centralstate.edu,Wilberforce,OH,Prospect,,,Initial outreach,,"Fit: 8/10; HBCU; Ohio public HBCU; STEM and manufacturing pathways"
Georgia Institute of Technology,https://www.gatech.edu,Atlanta,GA,Prospect,,,Initial outreach,,"Fit: 10/10; State university; NSA CAE-designated (CAE-R); top-tier cyber research and workforce"
University of Maryland Baltimore County,https://www.umbc.edu,Baltimore,MD,Prospect,,,Initial outreach,,"Fit: 10/10; State university; NSA CAE-designated (CAE-R); cyber defense research center"
Virginia Tech,https://www.vt.edu,Blacksburg,VA,Prospect,,,Initial outreach,,"Fit: 10/10; State university; NSA CAE-designated; Hume Center for National Security and Technology"
University of Texas at San Antonio,https://www.utsa.edu,San Antonio,TX,Prospect,,,Initial outreach,,"Fit: 10/10; State university; NSA CAE-designated; large cybersecurity program"
Arizona State University,https://www.asu.edu,Tempe,AZ,Prospect,,,Initial outreach,,"Fit: 10/10; State university; NSA CAE-designated; workforce and innovation initiatives"
Purdue University,https://www.purdue.edu,West Lafayette,IN,Prospect,,,Initial outreach,,"Fit: 10/10; State university; NSA CAE-designated; cyberTAP workforce training"
University of Florida,https://www.ufl.edu,Gainesville,FL,Prospect,,,Initial outreach,,"Fit: 10/10; State university; NSA CAE-designated; Florida public flagship"
Pennsylvania State University,https://www.psu.edu,University Park,PA,Prospect,,,Initial outreach,,"Fit: 10/10; State university; NSA CAE-designated; statewide extension and workforce"
University of Washington,https://www.washington.edu,Seattle,WA,Prospect,,,Initial outreach,,"Fit: 10/10; State university; NSA CAE-designated; Pacific Northwest tech workforce"
George Mason University,https://www.gmu.edu,Fairfax,VA,Prospect,,,Initial outreach,,"Fit: 10/10; State university; NSA CAE-designated; DC metro cyber and policy programs"
University of South Florida,https://www.usf.edu,Tampa,FL,Prospect,,,Initial outreach,,"Fit: 10/10; State university; NSA CAE-designated; Florida cyber workforce corridor"
San Diego State University,https://www.sdsu.edu,San Diego,CA,Prospect,,,Initial outreach,,"Fit: 9/10; State university; NSA CAE-designated; Southern California workforce hub"
University of North Carolina at Charlotte,https://www.charlotte.edu,Charlotte,NC,Prospect,,,Initial outreach,,"Fit: 9/10; State university; NSA CAE-designated; Charlotte fintech and cyber growth market"
Kennesaw State University,https://www.kennesaw.edu,Kennesaw,GA,Prospect,,,Initial outreach,,"Fit: 9/10; State university; NSA CAE-designated; Atlanta metro workforce programs"
University of Texas at Dallas,https://www.utdallas.edu,Richardson,TX,Prospect,,,Initial outreach,,"Fit: 10/10; State university; NSA CAE-designated; Dallas tech corridor"
Rochester Institute of Technology,https://www.rit.edu,Rochester,NY,Prospect,,,Initial outreach,,"Fit: 9/10; Private university; NSA CAE-designated; applied cyber and workforce certificates"
Northeastern University,https://www.northeastern.edu,Boston,MA,Prospect,,,Initial outreach,,"Fit: 9/10; Private university; NSA CAE-designated; co-op and workforce development model"
Clemson University,https://www.clemson.edu,Clemson,SC,Prospect,,,Initial outreach,,"Fit: 9/10; State university; NSA CAE-designated; South Carolina cyber initiative"
University of Alabama at Birmingham,https://www.uab.edu,Birmingham,AL,Prospect,,,Initial outreach,,"Fit: 9/10; State university; NSA CAE-designated; healthcare and cyber workforce region"
California State University San Bernardino,https://www.csusb.edu,San Bernardino,CA,Prospect,,,Initial outreach,,"Fit: 9/10; State university; NSA CAE-designated; Inland Empire workforce development"
University of Texas at Austin,https://www.utexas.edu,Austin,TX,Prospect,,,Initial outreach,,"Fit: 10/10; State university; NSA CAE-designated (CAE-R); flagship cyber research"
Carnegie Mellon University,https://www.cmu.edu,Pittsburgh,PA,Prospect,,,Initial outreach,,"Fit: 10/10; Private university; NSA CAE-designated (CAE-R); CERT Division and cyber leadership"
University of Illinois Urbana-Champaign,https://www.illinois.edu,Champaign,IL,Prospect,,,Initial outreach,,"Fit: 10/10; State university; NSA CAE-designated; engineering and information sciences flagship"
The Ohio State University,https://www.osu.edu,Columbus,OH,Prospect,,,Initial outreach,,"Fit: 9/10; State university; NSA CAE-designated; large public research institution"
University of Michigan,https://www.umich.edu,Ann Arbor,MI,Prospect,,,Initial outreach,,"Fit: 10/10; State university; NSA CAE-designated; top public research university"
Indiana University Bloomington,https://www.indiana.edu,Bloomington,IN,Prospect,,,Initial outreach,,"Fit: 9/10; State university; NSA CAE-designated; School of Informatics and Computing"
University of Colorado Boulder,https://www.colorado.edu,Boulder,CO,Prospect,,,Initial outreach,,"Fit: 9/10; State university; NSA CAE-designated; aerospace and cyber research"
Georgia State University,https://www.gsu.edu,Atlanta,GA,Prospect,,,Initial outreach,,"Fit: 9/10; State university; NSA CAE-designated; Atlanta urban workforce pipeline"
Florida State University,https://www.fsu.edu,Tallahassee,FL,Prospect,,,Initial outreach,,"Fit: 9/10; State university; NSA CAE-designated; Florida capital region research"
University of Central Florida,https://www.ucf.edu,Orlando,FL,Prospect,,,Initial outreach,,"Fit: 10/10; State university; NSA CAE-designated; large enrollment; simulation and cyber"
Texas A&M University,https://www.tamu.edu,College Station,TX,Prospect,,,Initial outreach,,"Fit: 10/10; State university; NSA CAE-designated; engineering and cyber institute"
Oklahoma State University,https://www.okstate.edu,Stillwater,OK,Prospect,,,Initial outreach,,"Fit: 9/10; State university; NSA CAE-designated; land-grant workforce programs"
Iowa State University,https://www.iastate.edu,Ames,IA,Prospect,,,Initial outreach,,"Fit: 9/10; State university; NSA CAE-designated; agriculture and engineering technology"
Kansas State University,https://www.k-state.edu,Manhattan,KS,Prospect,,,Initial outreach,,"Fit: 9/10; State university; NSA CAE-designated; Great Plains workforce hub"
University of Kansas,https://www.ku.edu,Lawrence,KS,Prospect,,,Initial outreach,,"Fit: 9/10; State university; NSA CAE-designated; Jayhawk STEM and IT programs"
University of Nebraska at Omaha,https://www.unomaha.edu,Omaha,NE,Prospect,,,Initial outreach,,"Fit: 9/10; State university; NSA CAE-designated; STRATCOM region cyber workforce"
University of Alabama in Huntsville,https://www.uah.edu,Huntsville,AL,Prospect,,,Initial outreach,,"Fit: 10/10; State university; NSA CAE-designated; Redstone Arsenal defense ecosystem"
Auburn University,https://www.auburn.edu,Auburn,AL,Prospect,,,Initial outreach,,"Fit: 9/10; State university; NSA CAE-designated; engineering and cybersecurity"
Mississippi State University,https://www.msstate.edu,Starkville,MS,Prospect,,,Initial outreach,,"Fit: 9/10; State university; NSA CAE-designated; CAVS and cyber research"
Louisiana State University,https://www.lsu.edu,Baton Rouge,LA,Prospect,,,Initial outreach,,"Fit: 9/10; State university; NSA CAE-designated; flagship public research"
University of Maryland College Park,https://www.umd.edu,College Park,MD,Prospect,,,Initial outreach,,"Fit: 10/10; State university; NSA CAE-designated (CAE-R); ACES cyber honors program"
University of Cincinnati,https://www.uc.edu,Cincinnati,OH,Prospect,,,Initial outreach,,"Fit: 9/10; State university; NSA CAE-designated; co-op workforce model"
University of Arizona,https://www.arizona.edu,Tucson,AZ,Prospect,,,Initial outreach,,"Fit: 9/10; State university; NSA CAE-designated; cyber operations program"
University of South Carolina,https://www.sc.edu,Columbia,SC,Prospect,,,Initial outreach,,"Fit: 9/10; State university; NSA CAE-designated; state flagship"
University of Memphis,https://www.memphis.edu,Memphis,TN,Prospect,,,Initial outreach,,"Fit: 8/10; State university; NSA CAE-designated; Mid-South logistics and cyber hub"
Old Dominion University,https://www.odu.edu,Norfolk,VA,Prospect,,,Initial outreach,,"Fit: 9/10; State university; NSA CAE-designated; Hampton Roads military corridor"
Northern Virginia Community College,https://www.nvcc.edu,Annandale,VA,Prospect,,,Initial outreach,,"Fit: 9/10; Community college; NSA CAE-designated (2-year); DC metro cyber workforce"
Miami Dade College,https://www.mdc.edu,Miami,FL,Prospect,,,Initial outreach,,"Fit: 9/10; Community college; NSA CAE-designated (2-year); large enrollment; workforce certificates"
Lone Star College,https://www.lonestar.edu,The Woodlands,TX,Prospect,,,Initial outreach,,"Fit: 9/10; Community college; NSA CAE-designated (2-year); Houston metro workforce hub"
Montgomery College,https://www.montgomerycollege.edu,Rockville,MD,Prospect,,,Initial outreach,,"Fit: 9/10; Community college; NSA CAE-designated (2-year); Maryland cyber corridor"
Austin Community College,https://www.austincc.edu,Austin,TX,Prospect,,,Initial outreach,,"Fit: 9/10; Community college; NSA CAE-designated (2-year); Austin tech workforce pipeline"
Delaware Technical Community College,https://www.dtcc.edu,Dover,DE,Prospect,,,Initial outreach,,"Fit: 8/10; Community college; NSA CAE-designated (2-year); statewide workforce programs"
Wake Technical Community College,https://www.waketech.edu,Raleigh,NC,Prospect,,,Initial outreach,,"Fit: 9/10; Community college; NSA CAE-designated (2-year); Research Triangle workforce"
Sinclair Community College,https://www.sinclair.edu,Dayton,OH,Prospect,,,Initial outreach,,"Fit: 8/10; Community college; NSA CAE-designated (2-year); Ohio workforce development"
Houston Community College,https://www.hccs.edu,Houston,TX,Prospect,,,Initial outreach,,"Fit: 8/10; Community college; large Texas system; workforce and continuing education"
Valencia College,https://www.valenciacollege.edu,Orlando,FL,Prospect,,,Initial outreach,,"Fit: 8/10; Community college; Orlando metro workforce and tech certificates"
